A2378323,Empty
A2278023,A2378112
Empty,A2178991
A2378540,Empty
A2078335,A2378422
Empty,A2378862
A2178715,Empty
A2378475,A2378639
Empty,A2378696
A2378386,Empty
A2378061,A2278406
Empty,A2378645

A2378251,Empty
A2378067,A2378099
Empty,A2378438
A2378192,Empty
A2378086,A2378073
Empty,A2378605
A2378707,Empty
A2278069,A2378299
Empty,A2378899
A2278462,Empty
A2078608,A2378947
Empty,A2378958

A2378280,Empty
A2278304,A2278505
Empty,A2278078
A2378243,Empty
A2378165,A2278716
Empty,A2378334
A2378128,Empty
A2378957,A2378072
Empty,A2378872
A2278325,Empty
A2378552,A2378966
Empty,A2378791

A2178484,Empty
A2378373,A2278443
Empty,A2378679
A2378336,Empty
A2378258,A2378463
Empty,A2378075
A2378641,Empty
A2378155,A2378573
Empty,A2378684
A2378914,Empty
A2378895,A2378056
Empty,A2378884

A2378397,Empty
A2278076,A2378728
Empty,A2378724
A2378290,Empty
A2278137,A2378058
Empty,A2378643
A2278823,Empty
A2278488,A2378875
Empty,A2278065
A2378818,Empty
A2378747,A2378851
Empty,A2378634

A2378826,Empty
A2278330,A2378700
Empty,A2378882
A2378101,Empty
A2378604,A2378367
Empty,A2378593
A2378821,Empty
A2377484,A2378624
Empty,A2378554
A2278725,Empty
A2378712,A2378104
Empty,A2378693

"FACING THE WALL: A2378968, A2178278"
